"Job Title","Job Type","Job Qualifications","Job Experience","Job Location","Job Field","Date Posted","Deadline","Job Description","Application","Company URL","Company Name","Company Logo","Company Industry","Company Founded","Company Type","Company Website","Company Address","Company Details","Job URL","Estimated Deadline","Salary Range"
"Field Officer","Consultancy / Contract","Diploma","3 - 5 Years","Bac Ninh","Monitoring & Evaluation","","2026-07-06","to support the implementation of community development project at the local level. The position requires close and regular engagement with local communities, local authorities, and project stakeholders to ensure effective and timely delivery of project activities.
The position will be based in Bac Ninh province (Luc Ngan district, former Bac Giang province).
Key responsibilities:
Support the
implementation of project activities
at the field level in assigned locations.
Work closely with
local communities and beneficiaries
to ensure their active participation.
Coordinate with
local authorities and partners
to facilitate project activities.
Conduct field visits, meetings, and training.
Collect, update, and manage
project data and field information.
Prepare field reports and contribute to project documentation.
Support monitoring and evaluation activities, including surveys and assessments.
Ensure activities are implemented in line with project plans and organizational guidelines.
Qualifications and requirements:
College diploma or higher
in community development, social work, or a related field.
Minimum
3–5 years of experience
working directly with communities, especially vulnerable groups (e.g., persons with disabilities, children, and ethnic minorities).
Proven experience in coordinating and working with
local authorities.
Experience in conducting household surveys and field data collection, facilitating community training and engagement activities and supporting monitoring and evaluation (M&E) processes.
Demonstrated understanding of and commitment to safeguarding policies, including child protection and prevention of sexual exploitation, abuse, and harassment (PSEAH), with experience applying these principles in community-based work.
Strong communication and interpersonal skills
Ability to work independently in field settings and travel frequently
Familiar with basic office tools such as email, Word, and Excel.
Basic English or Korean skills are an advantage.
Compensation and benefits:
Monthly salary based on internal regulations and experience.
Standard working hours: Monday–Friday, 8:00 AM–5:00 PM, with lunch and breaks.
Compulsory insurance according to the labor law.
How to apply:
Interested candidates are invited to submit a cover letter and an up-to-date curriculum vitae (CV) including details of 03 professional references, and the expected salary using the subject line:
“Field officer – [Your Name]”
to the following email address:
[email protected]
The deadline for applications is
July 6
th
, 2026.
Additional information:
Expected start date:
July 15
th
, 2026
1st selection (document screening) – 2nd selection (interview) – Final selection (interview).
Initial contract: 1 year, with the possibility of extension based on performance and project needs.
The position may be filled before the deadline if a suitable candidate is found.","hoaanh.dao@hotmail.com","https://en-m.miral.org","MWF","","NGO / Development","","NGO / Development","https://en-m.miral.org","Bac Ninh","","https://careerone.vn/jobs/field-officer-2/","2026-07-06",""
"Grants and Communications Officer – Engagement Team","Full-time","Bachelor's Degree","No Experience Required","Hanoi","Human Resources","","2026-06-30","Location
: Hanoi, Vietnam
Effective date:
June 2026
Reports to
: Communications and Engagement Manager
Employment Type
: Full-time
ABOUT ACTION ON POVERTY
Action on Poverty is a
venture philanthropy accelerator
focused on turning locally led solutions into
scalable, evidence
‑
based answers to global poverty
.
We exist because poverty persists not due to a lack of potential, but because proven solutions often lack the capital, connections and systems needed to scale. Our role is to identify what works, strengthen it, and help it grow to reach millions of people permanently.
For almost 60 years, we’ve partnered with entrepreneurs, communities and funders across
Asia, Africa and the Pacific
, supporting solutions that become embedded in markets, institutions or public policy rather than remaining reliant on ongoing aid.
The Engagement Team plays a critical role in how we communicate this work, build relationships with partners and supporters, and position Action on Poverty as a credible and strategic partner in international development and philanthropy.
ROLE PURPOSE
The Grants & Communications Assistant provides practical, hands-on support across
communications, digital content, and grant writing
.
Reporting to the Engagement team in Australia, this role is suited to an early-career professional who is interested in the intersection of
communications, philanthropy and international development
, and wants to build capability in both
content and institutional funding
.
You will support the delivery of communications and engagement activities, while playing an active role in the
development of funding proposals and donor-facing materials
that support the growth of Action on Poverty’s solution portfolio.
KEY RESPONSIBILITIES
Communications & Content
Draft clear, concise written content for digital channels, donor communications, newsletters and internal use
Produce and edit short-form content for social media, including basic video editing
Manage and schedule content across platforms, with a focus on LinkedIn
Design digital assets using Canva in line with Action on Poverty’s brand
Support thought leadership and external communications, including research, drafting and content preparation
Prospect Research, Proposals & Fundraising Support
Identify relevant grant opportunities aligned with Action on Poverty’s priorities
Maintain the grants calendar, tracking deadlines, submissions and reporting requirements
Draft and contribute to grant applications, concept notes and proposals
Translate program information and data into clear, structured funding narratives
Review funding guidelines to ensure proposals are accurate and compliant
Prepare donor reports and grant-related communications, coordinating inputs from program, finance and leadership teams
Maintain accurate records of submissions and grant documentation
Events & Engagement
Support the coordination and delivery of events, both in-person and online
Assist with event communications, invitations, run sheets and follow-up activity
Contribute to donor and partner engagement activities as required
Administration & Team Support
Manage and triage shared grants, engagement and communications inboxes
Support calendar management and meeting coordination
Provide general administrative support to ensure smooth day-to-day team operations
Monitor news and updates across the Australian philanthropy landscape
ABOUT YOU
This role would suit a graduate or early‑career professional with:
A degree in Communications, International Relations, or a related field
A strong interest in international development, philanthropy and systems‑change approaches to poverty
Curiosity about how philanthropic funding decisions are made, and interest in prospect research and proposal development
A demonstrated interest in
grant writing, proposal development and donor communications
A proactive and detail‑oriented approach
Skills & Experience
Essential
Excellent written English skills
, with the ability to structure clear and compelling narratives
Strong attention to detail and editing capability
Confidence using social media, particularly
LinkedIn
High competence in
Canva
Strong organisational skills and ability to manage multiple deadlines
Ability to work independently while taking direction
Desirable
Experience supporting or contributing to
grant writing or proposal development
Understanding of funding or grant application processes
Experience working with a
CRM
(HubSpot preferred)
Basic videography and content production skills
Exposure to PR or earned media
Experience supporting events or campaigns
Experience working in a cross-border or international context
You are passionate, driven and eager to learn. You can juggle multiple tasks, take initiative, and contribute thoughtfully to a small, collaborative team and have excellent attention to detail. You’re looking to build a meaningful career in engagement within international development.
WHAT IS IN IT FOR YOU?
Meaningful work contributing to poverty reduction and community empowerment.
Flexible and hybrid working arrangements.
Additional annual leave, sick leave, wellbeing and birthday leave.
Supportive, inclusive, and collaborative team culture.
Professional learning and development opportunities.
Cross-cultural working environment with global collaboration opportunities.
Employee wellbeing initiatives and engagement activities.
Competitive benefits package in accordance with AOP policies.
At Action on Poverty, we empower our people to thrive. We offer a purpose-driven career, flexibility, and a supportive culture that values wellbeing, diversity, and growth.
HOW TO APPLY
If you are passionate about working for a purpose, making a positive impact, and enhancing your skills, we’d love to hear from you!
Please submit your CV and cover letter to:
[email protected]
Subject line: [Your Full name] _ Grants and Communications Officer
Application deadline:
30
June
2026
Due to the high volume of applications, we anticipate recei","recruitment@actiononpoverty.org","http://recruitment@actiononpoverty.org","AOP","","NGO / Development","","UN Agency","http://recruitment@actiononpoverty.org","Hanoi","","https://careerone.vn/jobs/grants-and-communications-officer-engagement-team/","2026-06-30",""
"Consultancy for Order of construction investment for the Thai Nguyen Climate Learning Center (CLC)","Consultancy / Contract","","","","Consultancy","","2026-06-24","The International Center for Research in Agroforestry (ICRAF), also known as the World Agroforestry Centre, is seeking a qualified consultant for Order of construction investment for the Thai Nguyen Climate Learning Center (CLC). This initiative is part of a collaborative project with Thai Nguyen University of Agriculture and Forestry (TUAF) to establish a “Climate Learning Center” aimed at building climate resilience and supporting Vietnam’s 2050 Net-Zero commitment.
This is a lump-sum consultancy contract, and proposals may be submitted in English or Vietnamese in line with the
RFP guidelines
.
Proposals must be provided in one of the following formats:
Electronic submission:
A PDF version sent via email to:
[email protected]
and/or
[email protected]
; or
Hard-copy submission:
A signed hard copy delivered to the ICRAF Vietnam Office at
13th Floor, HCMCC Building, 249A Thuy Khue Street, Tay Ho Ward, Hanoi, Vietnam
.
All proposals must be received
no later than 10:00 a.m. (Vietnam Time) on 24 June 2026
.","ProcurementOfficeVietnam@cifor-icraf.org","","ICRAF","","NGO / Development","","Academic / Research","","","","https://careerone.vn/jobs/consultancy-for-order-of-construction-investment-for-the-thai-nguyen-climate-learning-center-clc/","2026-06-24",""
"Program Officer","Full-time","","","Nghe An","Programme / Project Management","","2026-07-15","– Blue Dragon Children’s Foundation
Blue Dragon Children’s Foundation is on a mission to end human trafficking. We believe that every child deserves exceptional care and a chance to thrive. Blue Dragon kids are street kids, children with disabilities, and young people who have been trafficked. After rescuing children from danger and slavery, we reunite them with their family and provide all the services needed for recovery and growth while advocating for improvements to policy and law.
Learn more about us at
www.bluedragon.org
.
Blue Dragon is looking for passionate and highly motivated Vietnamese applicants for the position of
Program Officer
working in
Tuong Duong commune, Nghe An province
. A detailed job description can be found <
here
>.
We are looking for people who wish to serve, love to work in a team, and are excited by fast-paced challenges.
Blue Dragon is a child-safe organisation and provides equal employment opportunities for all positions to all suitable people without discrimination. We encourage people with disabilities and from minority groups to apply.
Please send your CV and Cover Letter to
[email protected]
before
July 15, 2026
. Contact person: Ms. Lan Nguyen.","jobs@bdcf.org","http://www.bluedragon.org","Blue Dragon","","NGO / Development","","UN Agency","http://www.bluedragon.org","Nghe An","","https://careerone.vn/jobs/program-officer-21/","2026-07-15",""
"Request for Proposals “Consultancy Service for Developing Training Materials, Delivering QGIS Training Courses and Providing Technical Support for Forest Resource Management”","Consultancy / Contract","","","","Consultancy","","2026-06-19","WWF-Viet Nam would like to invite eligible consultants who are interested in tender ref.
FY26-1332: “Consultancy Service for Developing Training Materials, Delivering QGIS Training Courses and Providing Technical Support for Forest Resource Management”.
Please see the attached file for detailed information here:
https://vietnam.panda.org/get_involved_vn/jobs_vn/?396818
HOW TO APPLY:
Please send the electronic proposal to WWF-Viet Nam’s designated mailbox at
[email protected]
and
[email protected]
. Your e-mail must have the subject heading as “
[FY26-1332]-Proposal [Name of consultant] Consultancy Service for Developing Training Materials, Delivering QGIS Training Courses and Providing Technical Support for Forest Resource Management”.
The deadline for submission is
12:00 (Hanoi ICT) on June 19, 2026.
Late submissions will not be considered.","lan.huynhthi@wwf.org.vn","https://vietnam.panda.org/get_involved_vn/jobs_vn/?396818","WWF","","NGO / Development","","UN Agency","https://vietnam.panda.org/get_involved_vn/jobs_vn/?396818","","","https://careerone.vn/jobs/request-for-proposals-consultancy-service-for-developing-training-materials-delivering-qgis-training-courses-and-providing-technical-support-for-forest-resource-management/","2026-06-19",""
"[Extension] Project Administrator, Vinh Long","Full-time","Bachelor's Degree","","Ho Chi Minh","Programme / Project Management","","2026-06-30","Samaritan’s Purse is a Christian humanitarian organization providing aid to hurting people around the world. With a sustainable history working in Vietnam, the current projects include health, education, relief, protection, water, sanitation, and hygiene projects in schools, and livelihood projects.
Samaritan’s Purse Vietnam’s projects are being implemented in Ha Noi, Lai Chau, Lao Cai, Da Nang, Ho Chi Minh and Vinh Long, where the majority of people are from ethnic minority groups, often the most vulnerable or marginalized sections of the population.
We are now seeking highly qualified candidate for the following position:
Position Title:
Project Administrator, Vinh Long
Grade:
Administrator
Position Duration:
From hiring date to 31/12/2026
Duty Station:
HCMC with frequent travel to project locations
Reports To:
Lead Project Coordinator, Vinh Long
Job Summary:
The Project Administrator supports the program of Samaritan’s Purse under the direction of the Lead Project Coordinator. He/she is responsible to support project activities including initiating, planning, execution, monitoring/evaluation, and conclusion of activities.
Key Responsibilities:
Project Implementation:
Support Program Manager and Lead Project Coordinator/Project Coordinator(s) with project design and implementation support including conducting activities, coordination, trainings, assessments, monitoring, and evaluation.
Logistical Arrangements:
Prepare logistical arrangements including transportation, accommodations, meals, and supplies for project activities and distributions.
Training:
Assist with training, development of supporting materials, and reviewing partner’s training for accuracy and applicability.
Scheduling:
Manage timely completion of the project activities under the direction of the Program Manager in coordination with partners.
Procurement:
Utilize established office procedures to ensure the project has the necessary products and/or services to complete work in a timely manner.  File and organize procurement documents in the shared drive. Keep inventory of project supplies in storage.
Monitoring and Evaluation:
Monitor project activities conducted by Samaritan’s Purse and partners. Utilize survey, interview, discussion, and other data collection methods to monitor and evaluate project activities. Ensure activity and project outputs meet defined scope and quality.
Reporting and Data Entry:
Data is compiled from surveys, questionnaires, and activities to create summary of information for input into reports including data software, monthly, and annual reports for review by the Program
Stakeholder, Partner, and Government Relations:
Assist the Lead Project Coordinator with meetings, communications, and related documentation. Works to foster strong relationships with partnering authorities.
Financial
M
anagement:
Follow internal financial procedures to ensure timely completion of activities in accordance with approved budgets and donor requirements. Collect accurate receipts and supporting financial documents. Create regular financial expense reports for activities. Review partner financial reporting for compliance with internal requirements when needed.
Quality:
Oversee activities to ensure they meet the quality needs for which it was approved.
Communication:
Ensure timely and appropriate planning, collection, creation, distribution, storage, retrieval, management, control, monitoring of project communication, including impact stories.
Work Environment:
Nurture a positive work environment and foster a commitment to Samaritan’s Purse values and ethics.
Other responsibilities:
Samaritan’s Purse works as a team to carry out programming and additional responsibilities will be assigned as needed.
Education/Experience Needed:
Bachelor’s Degree in development-related field, social sciences, and/or other relevant field.
At least one year of relevant professional work experience
English proficiency level A2 (Elementary Basic User) according to CEFR (Common European Framework of Reference for Languages) and fluency in written and spoken Vietnamese
Prior experience or training in project management is preferable.
Strong willingness and passion to help the vulnerable and disadvantaged in Vietnam.
Skills Required:
Excellent planning, time management and organizational skills; high level of integrity.
Comfortable using Microsoft Word, Excel, PowerPoint, and email.
Ability to travel frequently to remote villages in varying weather conditions
Humble and mature team player; ability to be flexible and adapt.
Samaritan’s Purse in Vietnam is a Christian nonprofit organization. Candidates having working experience in a similar kind of organization will be an advantage.
Please note that Applications will be treated in confidence, only candidates invited to an interview will be contacted.
To respond to this opportunity, please send your
Cover letter, Samaritan’s Purse
Application form
(as attached) to
[email protected]
referencing “Vinh Long Project Administrator Opportunity” in the subject title.
Application Deadline:
June 30, 2026.","hrspvietnam@samaritan.org","","Samaritan's Purse","","NGO / Development","","NGO / Non-Profit","","Ho Chi Minh","","https://careerone.vn/jobs/extension-project-administrator-vinh-long/","2026-06-30",""
"Community Outreach Officer (Yên Bái)","Full-time","","","Yen Bai","Communications & Advocacy","","2026-06-28","Location:
Yên Bái province (frequent travel to communes & villages)
Deadline:
June 28, 2026
REACH – a leading Vietnamese NGO empowering disadvantaged youth through vocational training and employment – is looking for a
Community Outreach Officer
to join our project in Yên Bái.
This is a key role focused on recruiting ethnic minority women for entrepreneurship programs and youth for vocational training, with extensive community engagement in rural areas.
Please refer to the attached
JD (in Vietnamese)
for more details.
Interested candidates should be submitted to
[email protected]
no later than
June 28, 2026
.","tuyendung@reach.org.vn","","REACH","","NGO / Development","","NGO / Non-Profit","","Yen Bai","","https://careerone.vn/jobs/community-outreach-officer-yen-bai/","2026-06-28",""
"Project Lead","Internship","Master's Degree","No Experience Required","Yen Bai","Programme / Project Management","","2026-06-28","will be fully responsible for the project implementation in Yen Bai Province. The primary goal is to empower women and youth through entrepreneurship and vocational training, specifically in the tourism and hospitality industry. This is a key leadership position, ensuring project targets are met on time, within budget, and with sustainable impact for the community.
A. Main tasks
The Project Manager will coordinate, lead, and oversee all project activities. This position requires strong team management skills, partnership building abilities, and high adaptability to local contexts, especially in rural and disadvantaged areas.
1. Project Management and Leadership
Lead and manage the project team, ensuring smooth implementation of all activities.
Assign tasks, monitor progress, and support the team in resolving emerging issues during implementation.
2. Training Design and Oversight
Design, develop and oversee tourism and hospitality training programs for local women and youth.
Ensure training content is aligned with labor market needs and the local community context.
3. Partnership Building and Maintenance
Build and maintain strong relationships with local stakeholders, including businesses, community groups, and government agencies.
Connect graduates with job and internship opportunities through the partner network.
4. Monitoring, Evaluation and Reporting
Monitor and evaluate project progress, ensuring goals and objectives are met on time and within approved budget.
Prepare regular and ad-hoc reports for donors, partners, and internal teams, ensuring accuracy, transparency, and timeliness.
Manage project budget, expenditures, and financial reporting in compliance with organizational and donor regulations.
5. Other Tasks
Perform other tasks as assigned by the Director, in compliance with REACH policies and regulations.
B. Expected Key Results
Successful implementation: Project is delivered on time, meeting or exceeding quantitative and qualitative targets.
Quality training: Tourism & hospitality training programs are well-designed, effectively delivered, and graduates meet labor market requirements.
Sustainable partnerships: Partner network is expanded and well-maintained, contributing to job and livelihood opportunities for graduates.
Timely, quality reporting: Progress, financial, and results reports are submitted fully, accurately, and on time as required by donors and the organization.
Effective budget management: Project is implemented within approved budget, ensuring transparency and financial compliance.
C. Skill and Qualification Requirements
Age: Male/Female under 40 years old.
Education: Bachelor’s degree in
Business Administration, Hospitality & Tourism, Social Work
, or a related field.
A Master’s degree is a strong advantage.
Experience: Minimum
5 years of experience
managing development projects, preferably those related to women and youth empowerment, entrepreneurship, and vocational training.
Experience working in rural, disadvantaged areas or with ethnic minority communities is an advantage.
Technical Knowledge: Strong understanding of the tourism and hospitality sector, especially in rural or community-based settings. Knowledge of entrepreneurship models and small business development for women and youth.
Leadership and Management Skills: Proven leadership skills with experience managing teams and budgets. Strong problem-solving, decision-making, and adaptability skills to handle on-the-ground challenges.
Communication and Partnership Skills: Excellent communication and relationship-building skills with diverse stakeholders (government, businesses, organizations, communities). Ability to work with diverse groups, especially local communities and women-led businesses.
Language: Basic English proficiency is required; fluency in English is a plus.
Commitment: Demonstrated commitment to REACH’s Vision and Mission.
D. Benefits:
Salary: Negotiable, based on competence and expreince
Working hours: Administrative hours, Monday to Friday.
Leave: 15 annual leave days/year + 12 days of support leave for employees with children under 36 months.
Working environment: Friendly, meaningful, and with high social impact.
Development opportunities: Access to training and professional development with local and international experts.
E.
Contact information:
Contact Email:
[email protected]
Contact:
No. 28 Nguyen Khanh Toan, Nghia Do Ward, Hanoi City.
Contact Phone:
0964.658.466
Application Time
28/06/2026
Note:
Early applications will be prioritized for review and interview invitations. REACH reserves the right to hire as soon as a suitable candidate is identified","tuyendung@reach.org.vn","","REACH","","NGO / Development","","Government / Embassy","","Yen Bai","","https://careerone.vn/jobs/project-lead-3/","2026-06-28",""
"Technical Advisor – Market-Based Programming","Full-time","Master's Degree","3 - 5 Years","Hanoi","Programme / Project Management","","2026-07-01","Under leadership and management of the Program Development Manager, The Technical Advisor – Market‑Based Programming (MBP) provides technical and strategic leadership to strengthen the design and application of inclusive, market‑based and livelihood approaches across Save the Children in Vietnam’s program.
The role supports the development of market‑based programming as a strategic and emerging pillar, contributing to child poverty reduction, livelihood resilience, and sustainability, aligned with the Country Strategic Plan, in the context of climate change, digital transformation, and evolving donor priorities.
The post holder will work with other Technical Advisors, other team members of the Program Development team, and Project Managers to integrate market-based approaches across Save the Children’s thematic sectors, including education, health, child protection, child rights governance, and climate resilience.
The Technical Advisor will play a critical role in driving resource mobilization by designing high-quality, competitive proposals for securing USD5 million annually from institutional, corporate, philanthropic, and innovative financing sources.
I. KEY AREAS OF ACCOUNTABILITY:
Strategic Leadership in Market-Based Programming
Lead the development and refinement of the market‑based programming technical approach, aligned with CSP priorities.
Translate child poverty and livelihoods strategy into practical, implementable MBP designs
Ensure integration of climate resilience, gender equality, inclusion, and safeguarding into MBP designs
Provide strategic advice on where MBP is appropriate and where it is not, based on evidence and feasibility
Position Save the Children as a thought leader in market-based programming for vulnerable children and youth within Vietnam and the region.
Program Design and Technical Excellence
Provide technical leadership in designing high-quality programs incorporating market-based solutions, including:
Sustainable and inclusive value chain development
Youth employment and entrepreneurship
Financial inclusion and access to services
Climate-smart livelihoods
Support technical advisors across sectors to embed market-based approaches into traditional programming (education, health, child protection, CRG, climate).
Develop tools, frameworks, and guidance for implementing market-based programming.
Ensure all programs are child-focused, inclusive, and aligned with safeguarding and equity principles.
Resource Mobilization and Proposal Development
Lead the development of high-quality concept notes and proposals on market-based programming and integrated approaches.
Work in close collaboration with the Program Development Manager to mobilize a minimum of USD 5 million annually through strategic fundraising efforts.
Identify and pursue funding opportunities from institutional donors, private sector, foundations, and innovative finance mechanisms.
Collaborate with Business Development, Finance, and Technical teams to ensure strong, competitive proposals.
Contribute to capture planning, pre-positioning, and donor engagement strategies.
Partnerships and Stakeholder Engagement
Build and maintain strategic partnerships with:
Government agencies
Private sector companies and industry associations
Financial institutions and impact investors
NGOs and development partners
Facilitate multi-stakeholder collaboration to scale market-based solutions.
Represent Save the Children in external forums, networks, and technical working groups.
Strengthen linkages with regional and global initiatives on market-based programming and innovative finance.
Innovation and Blended Finance
Lead the exploration and application of innovative financing models, including blended finance, results-based financing, and impact investment.
Identify opportunities to leverage private capital for social impact.
Integrate digital solutions and platforms into livelihood and economic programs.
Pilot and scale innovative approaches to enhance program sustainability and impact.
Capacity Building and Knowledge Management
Build capacity of Save the Children staff and partners on market-based programming approaches.
Provide coaching and mentoring to technical teams and project staff.
Capture and disseminate learning, best practices, and evidence.
Contribute to organizational knowledge and influence internal and external learning agendas.
II. BEHAVIOURS (Values in Practice
)
Accountability:
Holds self-accountable for making decisions, managing resources efficiently, achieving and role modelling Save the Children values
Holds the team and partners accountable to deliver on their responsibilities – giving them the freedom to deliver in the best way they see fit, providing the necessary development to improve performance and applying appropriate consequences when results are not achieved.
Ambition:
Sets ambitious and challenging goals for themselves and their team, takes responsibility for their own personal development and encourages their team to do the same
Widely shares their personal vision for Save the Children, engages and motivates others
Future orientated, thinks strategically and on a global scale.
Collaboration:
Builds and maintains effective relationships, with their team, colleagues, Members and external partners and supporters
Values diversity, sees it as a source of competitive strength
Approachable, good listener, easy to talk to.
Creativity:
Develops and encourages new and innovative solutions
Willing to take disciplined risks.
Integrity:
Honest, encourages openness and transparency
III. QUALIFICATIONS
Master’s degree or equivalent in Economics, Development Studies, Business Administration, International Development, or a related field
EXPERIENCE AND SKILLS:
Experience:
Minimum 5 years of experience in international development, with strong expertise in market-based programming, livelihoods, or economic development for vulnerable groups and/or difficult areas.
Proven experience in designing and implement","","https://hcri.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/16812","SCI","","NGO / Development","","NGO / Non-Profit","https://hcri.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/16812","Hanoi","","https://careerone.vn/jobs/technical-advisor-market-based-programming/","2026-07-01","USD5"
"Project Officer","Full-time","Master's Degree","","Hanoi","Programme / Project Management","","2026-07-01","The Project Officer is responsible for assigned tasks among the implementation of assigned project(s). She/he will be responsible on implementation of project activities in Gia Lai and Dak Lak and other project locations in close coordination with Project Manager and local partners to ensure project delivery as planned, get its objectives, effective, efficient and cost-effective. The PO will assist to ensure that Save the Children Vietnam activities in the field are consistent with SCI and Members’ programming principles and approaches and quality standards, draw on good practices and lessons learned, enable children to attain their rights and are compliant with donor regulations.
In the event of a major humanitarian emergency, the role holder will be expected to work outside the normal role profile and be able to vary working hours accordingly.
List of assigned project(s): Enhancing People-Centred Disaster Preparedness and Early Warning
1. KEY AREAS OF ACCOUNTABILITY:
Contributions to Country Office Operation:
Engage the learning agenda of the country office.
Implement risk prevention actions those link to project activities. Monitor and alert Project Manager emerging risks and implement risk mitigation activities.
When relevant and required, provide inputs and ideas for need assessment, child right situational analysis.
When relevant and required, provide inputs for Country Annual Plan, Country Strategic Plan and reports.
Provide supports to and or involve in emergency both during assessment stage and implementation of emergency response.
Project management
Support Project Manager drafting sub-grant agreements.
Follow SC internal approval process and grant management requirements (e.g. kick-off meeting, donor requirements) during projects implementation.
Provide inputs to Project Manager to adjust the work plans, budget, and procurement plans if needed.
Working closely with partner to implement activities in the field as approved yearly workplans. Those contribute to achievement of project monthly and quarterly operations and quality KPIs.
Provide inputs to Project Manager for quarterly review of operational, finance, and safeguarding risks and issues, and take actions assigned by Project Manager.
Monitor and report to Project Manager any emerging issues affecting project implementation in the field. Implement solutions as agreed with Project Manager.
Work with related technical Advisors to implement related project activities.
Provide inputs to Project Manager in writing project report and case stories. Work with Project Manager to address any issue related to reporting to members and or donors.
With supports and guidance from Project Managers and TAs, responsible to work with partners to make sure project technical requirements well implemented in the field.
Work collaboratively across multiple projects, ensuring integration and synergy rather than managing each project in isolation and align project activities with SCI’s broader strategic objectives.
Research, Evaluation, Accountability, Leaning and Monitoring (REALM)
Timely and accuracy update of project data on PRIME assigned by Project Manager (Logframe, DIP and MEAL plan).
Regularly using project QBs collect data as required. Working with related MEAL staffs to implement MEAL plans.
Support project partners in monitoring and supervising activities to ensure the progress and quality of project implementation.
Provide inputs from the field for project review and update, and bring lessons learned to share and discuss with partners.
Implement, monitor, and report to Project Manager the accountability system in the field.
Collect feedback from people and group (beneficiaries) and project stakeholders and report to Project Manager.
Update and file project files rightly in the Sharepoint (internal filing system of SCI).
Program and Project Development
When relevant and required by Project Manager, provide inputs and ideas, including lessons learned, for project concepts, and proposal, data for project location selection, and project draft budget.
Acting Project Manager when assigned.
Staff Management
N/A
Financial Management
Working with partner to make sure that project activities implemented in the most cost-effect way.
Provide input to Project Manager for budget phasing and monthly forecast.
Monitor and work with partners to make sure that projects expenses partners are in accordance with SCI and donor’s policies and procedure.
Monitor and work directly with partner to make sure that SCI finance and procurement policies and procedures are strictly followed. Report to Project Manager any suspected violation of SCI finance and procurement policies and procedure.
Serve as the Budget Holder responsible for managing expenses under 10,000 USD.
Take on the role of requester on the systems (Prosave, Agresso) when required.
Representation, Partnership and Networking
When relevant and require, provide project information to ACCM team, for communication purposes.
Support Project Manager in establishing coordination and maintain strong relationship with direct project implementing partners for smooth project implementation.
When relevant and require, joint partner assessment and implement activities to support partners’ capacity.
Work with partner to make sure that that government laws, policies and procedures are complied with during project implementation. (e.g. MoU, project approval from local authority)
2. BEHAVIOURS (Values in Practice
)
Accountability:
Holds self-accountable for making decisions, managing resources efficiently, achieving and role modelling Save the Children values
Holds the team and partners accountable to deliver on their responsibilities – giving them the freedom to deliver in the best way they see fit, providing the necessary development to improve performance and applying appropriate consequences when results are not achieved.
Ambition:
Sets ambitious and challenging goals for themselves and their team, takes responsi","","https://hcri.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/16452","SCI","","NGO / Development","","INGO","https://hcri.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/16452","Hanoi","","https://careerone.vn/jobs/project-officer-34/","2026-07-01",""
